X,Y
11.32,0.4632131425
11.33,0.4656322662
11.34,0.4679829557
11.35,0.4702642627
11.36,0.4724752725
11.37,0.474615105
11.38,0.4766829152
11.39,0.4786778933
11.4,0.4805992657
11.41,0.4824462953
11.42,0.4842182819
11.43,0.4859145626
11.44,0.4875345123
11.45,0.489077544
11.46,0.490543109
11.47,0.4919306972
11.48,0.4932398377
11.49,0.4944700984
11.5,0.4956210868
11.51,0.4966924496
11.52,0.4976838734
11.53,0.4985950842
11.54,0.4994258477
11.55,0.5001759697
11.56,0.5008452953
11.57,0.5014337094
11.58,0.5019411368
11.59,0.5023675413
11.6,0.5027129264
11.61,0.5029773348
11.62,0.5031608478
11.63,0.5032635859
11.64,0.5032857078
11.65,0.5032274104
11.66,0.5030889287
11.67,0.5028705348
11.68,0.5025725384
11.69,0.5021952857
11.7,0.501739159
11.71,0.5012045769
11.72,0.5005919931
11.73,0.499901896
11.74,0.4991348088
11.75,0.4982912879
11.76,0.4973719234
11.77,0.4963773377
11.78,0.4953081852
11.79,0.4941651519
11.8,0.4929489541
11.81,0.4916603383
11.82,0.4903000804
11.83,0.4888689847
11.84,0.4873678836
11.85,0.4857976364
11.86,0.4841591289
11.87,0.4824532724
11.88,0.4806810033
11.89,0.4788432816
11.9,0.4769410909
11.91,0.4749754369
11.92,0.4729473471
11.93,0.4708578697
11.94,0.4687080726
11.95,0.4664990431
11.96,0.4642318865
11.97,0.4619077254
11.98,0.4595276991
11.99,0.4570929623
12,0.4546046845
12.01,0.4520640493
12.02,0.449472253
12.03,0.4468305043
12.04,0.4441400231
12.05,0.4414020398
12.06,0.4386177941
12.07,0.4357885348
12.08,0.4329155181
12.09,0.4300000077
12.1,0.4270432729
12.11,0.4240465888
12.12,0.4210112347
12.13,0.4179384935
12.14,0.4148296512
12.15,0.4116859957
12.16,0.408508816
12.17,0.4052994017
12.18,0.402059042
12.19,0.3987890251
12.2,0.3954906373
12.21,0.3921651622
12.22,0.3888138801
12.23,0.3854380674
12.24,0.3820389956
12.25,0.3786179309
12.26,0.3751761331
12.27,0.3717148557
12.28,0.3682353442
12.29,0.3647388366
12.3,0.3612265618
12.31,0.3576997397
12.32,0.3541595802
12.33,0.3506072829
12.34,0.3470440363
12.35,0.3434710176
12.36,0.3398893917
12.37,0.3363003112
12.38,0.3327049157
12.39,0.3291043313
12.4,0.3254996701
12.41,0.3218920299
